Nome,in0,in1,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,in2,in3,in4,in5,in6,in7,in8,in9
C700-6,65.7532,12.2564,4.55185,7.09179,9.36065,2.10932,10.3233,7.26132,16.4543,9.73343,0.653335,12.851,1.19028,9.23514,34.7933,20.0457,15.5779,117.755,14.2026,5.90839
C800-1,7.92088,1.98982,0.295331,1.53381,4.74704,4.03328,6.49713,3.52719,9.83642,0.099497,5.58298,2.76527,1.97052,4.89888,1.48687,1.21613,0.300789,2.3687,5.95696,0.296212
C800-2,23.8354,9.48433,17.0169,7.42757,11.1078,38.603,26.0093,10.2329,8.33269,17.4909,3.54463,7.27363,8.05215,3.10901,6.05943,11.4995,6.93381,11.3543,14.6999,12.5692
C800-3,24.686,12.1927,25.3833,7.32363,2.55604,19.5967,16.3573,10.1835,2.08436,13.013,37.1639,4.87831,11.932,21.6885,1.24596,2.88382,8.44631,24.2023,28.9865,8.41762
C800-4,18.1335,22.9374,16.6761,14.6745,14.7612,2.96382,7.42931,15.7153,64.0555,5.70553,5.28452,6.00346,23.1374,15.762,113.698,13.6703,33.3246,62.1446,5.87316,18.836
C800-5,50.8127,19.6259,143.044,18.7733,4.20416,5.59694,14.2243,62.4468,9.83213,38.2502,47.7993,37.9885,12.0667,159.94,15.5471,3.99035,20.7646,9.03733,1.67599,22.408
C800-6,7.97232,29.9385,9.54599,4.84445,12.0889,10.4328,21.8832,31.4212,96.1043,17.5492,33.0047,13.1732,8.50587,6.11867,87.8773,44.6503,10.1913,37.3599,1.05445,56.3269
C900-1,12.5384,3.81081,0.110471,6.61788,13.9326,0.998853,15.4692,17.0377,1.90503,12.2435,8.80439,0.336605,12.0776,12.9023,7.77204,10.1939,6.57292,10.729,5.3706,0.259604
C900-2,14.1596,18.9284,20.5506,11.1875,1.95665,10.0514,10.4359,17.4215,4.47922,6.53699,4.68806,11.101,6.05567,25.7864,18.5821,9.25496,7.98791,11.7216,25.9155,3.42372
C900-3,4.30437,2.78168,4.69438,8.33348,4.13068,14.3535,3.90222,33.1199,47.6547,9.946,11.8549,14.8795,3.11374,20.3272,12.9601,29.4379,13.8181,31.9927,2.09272,23.7196
C900-4,18.3596,26.8867,84.7149,24.8298,31.2945,64.6249,16.6301,33.9877,4.7234,5.01169,0.597071,87.3899,33.8268,24.8924,17.7415,9.38197,57.2638,16.8388,11.817,12.0499
C900-5,95.1989,15.891,5.28632,58.4591,24.661,39.5342,60.8818,26.5994,19.9264,14.6863,27.6445,23.1397,23.0316,105.953,15.5671,4.98194,5.23255,11.6399,10.2036,7.7922
C900-6,21.8664,16.6106,86.731,95.819,21.6725,15.2617,28.7037,56.6964,15.4835,80.8553,100.112,6.94698,76.9441,11.0527,23.1326,82.8946,33.3193,35.1522,119.879,19.6415
